pool,profile,architecture,points,sampling,augmentation,id,parameters,center_policy,neighbors,encoder_dimensions,standard_convolution,graph_message_passing,current_status
p35,h0,attention_pool,32,uniform,jitter_rotate_so3,c173,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,32,curvature,none,c174,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,32,curvature,jitter,c175,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,32,curvature,rotate15,c176,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,32,curvature,rotate_so3,c177,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,32,curvature,jitter_rotate15,c178,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,32,curvature,jitter_rotate_so3,c179,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,uniform,none,c180,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,uniform,jitter,c181,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,uniform,rotate15,c182,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,uniform,rotate_so3,c183,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,uniform,jitter_rotate15,c184,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,uniform,jitter_rotate_so3,c185,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,curvature,none,c186,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,curvature,jitter,c187,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,curvature,rotate15,c188,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,curvature,rotate_so3,c189,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,curvature,jitter_rotate15,c190,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,attention_pool,48,curvature,jitter_rotate_so3,c191,517766,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,32,uniform,none,c192,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,32,uniform,jitter,c193,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,32,uniform,rotate15,c194,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,32,uniform,rotate_so3,c195,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
